Method,Epsilon,Accuracy,F1,Runtime
Baseline-LogReg,N/A,0.823139399966849,0.5692369802180056,0.023977994918823242
Baseline-DT,N/A,0.8098789988397149,0.6265060240963856,0.08648991584777832
Input-LogReg,0.01,0.7463948284435604,0.0,0.0298919677734375
Input-DT,0.01,0.7463948284435604,0.0,0.7488040924072266
Input-LogReg,0.1,0.7463948284435604,0.0,0.021686077117919922
Input-DT,0.1,0.6984916293717885,0.0329611908559277,0.5626020431518555
Input-LogReg,0.5,0.7467263384717387,0.0026109660574412533,0.011945009231567383
Input-DT,0.5,0.7004806895408586,0.27979274611398963,0.4723241329193115
Input-LogReg,1.0,0.7578319244157136,0.09423434593924365,0.022353172302246094
Input-DT,1.0,0.7633018398806564,0.5452229299363057,0.42798686027526855
Input-LogReg,5.0,0.8180009945300846,0.539815590947192,0.021912813186645508
Input-DT,5.0,0.8067296535720205,0.606081081081081,0.43089890480041504
Input-LogReg,10.0,0.8234709099950274,0.5665445665445665,0.02241992950439453
Input-DT,10.0,0.8209845847836897,0.6329027872195785,0.45966005325317383
Internal-LogReg,0.01,0.5764959390021548,0.20873335397956025,0.014181137084960938
Internal-DT,0.01,0.7485496436267197,0.03190810465858328,0.01867389678955078
Internal-LogReg,0.1,0.4987568373943312,0.322884012539185,0.010689020156860352
Internal-DT,0.1,0.7611470246974971,0.1488481984642646,0.022504806518554688
Internal-LogReg,0.5,0.370628211503398,0.2547595682041217,0.008798837661743164
Internal-DT,0.5,0.7463948284435604,0.002607561929595828,0.02173900604248047
Internal-LogReg,1.0,0.38223106248964034,0.2108829134024984,0.012586116790771484
Internal-DT,1.0,0.7498756837394331,0.0345489443378119,0.025882959365844727
Internal-LogReg,5.0,0.38985579313774243,0.21564031536330705,0.006932973861694336
Internal-DT,5.0,0.7503729487817007,0.03088803088803089,0.0231931209564209
Internal-LogReg,10.0,0.39930382894082544,0.2860520094562648,0.012830018997192383
Internal-DT,10.0,0.750704458809879,0.1939978563772776,0.027311086654663086
Output-LogReg,0.01,0.5808055693684734,0.3836217401901048,0.015208959579467773
Output-LogReg,0.1,0.49278965688712084,0.24481737413622903,0.011133909225463867
Output-LogReg,0.5,0.6721365821316094,0.32766825288919105,0.012208938598632812
Output-LogReg,1.0,0.6056688214818499,0.34008321775312067,0.019931793212890625
Output-LogReg,5.0,0.7881650919940328,0.5960809102402023,0.015250205993652344
Output-LogReg,10.0,0.7936350074589756,0.5510277677605482,0.012391328811645508
