Method,Epsilon,Accuracy,F1,Runtime
Baseline-LogReg,N/A,0.926,0.925836256662193,17.288400888442993
Baseline-CNN,N/A,0.9883999824523926,0.9883961283822118,20.960611820220947
Input-LogReg,0.01,0.3159,0.2878051172569588,3.2109899520874023
Input-LogReg,0.1,0.568,0.5741846164451565,7.9751269817352295
Input-LogReg,0.5,0.687,0.6927096423745996,25.609272003173828
Input-LogReg,1.0,0.7336,0.7359628915365996,34.4672691822052
Input-LogReg,5.0,0.8956,0.8945428765461649,15.921210050582886
Input-LogReg,10.0,0.9049,0.9043328098922786,15.869533061981201
Input-CNN,0.01,0.11349999904632568,0.023138302649304,20.729068994522095
Input-CNN,0.1,0.6496999859809875,0.6358845877149545,21.092580795288086
Input-CNN,0.5,0.8632000088691711,0.8640496712761149,21.06712293624878
Input-CNN,1.0,0.9531000256538391,0.9530094072359101,21.24018907546997
Input-CNN,5.0,0.98580002784729,0.9858018686310652,20.994962215423584
Input-CNN,10.0,0.9864000082015991,0.986395160265795,20.66306161880493
Internal,0.01,0.1,0.07367267009907535,2.0884180068969727
Internal,0.1,0.1254,0.09704577067764164,2.0925509929656982
Internal,0.5,0.1111,0.06818572965871884,2.1075832843780518
Internal,1.0,0.0767,0.05307978225103975,2.07157301902771
Internal,5.0,0.1064,0.07549596175242694,2.49377703666687
Internal,10.0,0.1159,0.07803291869064422,2.3942768573760986
Output,0.01,0.1077,0.09765703673278915,17.604387283325195
Output,0.1,0.1328,0.08913167583398336,17.38809895515442
Output,0.5,0.1888,0.14872074705546234,17.567314863204956
Output,1.0,0.3726,0.35848713649499897,17.718650102615356
Output,5.0,0.8302,0.8324132063087001,17.391454935073853
Output,10.0,0.8833,0.8838786261650277,17.477874279022217
