Method,Epsilon,Accuracy,F1,Runtime
Baseline-LogReg,N/A,0.823139399966849,0.5692369802180056,0.018665313720703125
Baseline-DT,N/A,0.8092159787833582,0.6261773303020461,0.10089612007141113
Input-LogReg,0.01,0.7463948284435604,0.0,0.02853679656982422
Input-DT,0.01,0.7463948284435604,0.0,0.6446809768676758
Input-LogReg,0.1,0.7463948284435604,0.0,0.0245058536529541
Input-DT,0.1,0.7473893585280955,0.14382022471910114,0.5354409217834473
Input-LogReg,0.5,0.7470578484999171,0.005215123859191656,0.018904924392700195
Input-DT,0.5,0.6363334990883475,0.29543994861913936,0.4334537982940674
Input-LogReg,1.0,0.7584949444720703,0.09894867037724181,0.020353078842163086
Input-DT,1.0,0.7173877009779546,0.4533504328310356,0.438190221786499
Input-LogReg,5.0,0.8173379744737278,0.5396825396825397,0.02681708335876465
Input-DT,5.0,0.8075584286424664,0.5986864846180435,0.46765589714050293
Input-LogReg,10.0,0.8229736449527598,0.564437194127243,0.023601055145263672
Input-DT,10.0,0.8141886292060335,0.6221772834512976,0.45403194427490234
Internal-LogReg,0.01,0.4540029835902536,0.23785284590467376,0.007464170455932617
Internal-DT,0.01,0.7503729487817007,0.069221260815822,0.027299880981445312
Internal-LogReg,0.1,0.5045582628874523,0.28850273744346583,0.010898113250732422
Internal-DT,0.1,0.7550140891761976,0.16402714932126697,0.0240020751953125
Internal-LogReg,0.5,0.518315929056854,0.4687385740402194,0.008753299713134766
Internal-DT,0.5,0.775236200895077,0.3597733711048159,0.02638387680053711
Internal-LogReg,1.0,0.6678269517652909,0.2675438596491228,0.011869192123413086
Internal-DT,1.0,0.7518647439085032,0.043450479233226834,0.022600889205932617
Internal-LogReg,5.0,0.6280457483838886,0.32894736842105265,0.012111902236938477
Internal-DT,5.0,0.7606497596552295,0.14858490566037735,0.017238140106201172
Internal-LogReg,10.0,0.4767114205204707,0.3249946546931794,0.008356809616088867
Internal-DT,10.0,0.7543510691198408,0.06439393939393939,0.021468162536621094
Output-LogReg,0.01,0.4506878833084701,0.38470107686594873,0.010262012481689453
Output-LogReg,0.1,0.6936847339632024,0.4199623352165725,0.014223098754882812
Output-LogReg,0.5,0.34510193933366484,0.2400461627236007,0.014759302139282227
Output-LogReg,1.0,0.6602022211171888,0.3688423645320197,0.016311168670654297
Output-LogReg,5.0,0.8039118183325046,0.5850578744300245,0.01344609260559082
Output-LogReg,10.0,0.8199900546991546,0.5724409448818898,0.02045917510986328
