Method,Epsilon,Accuracy,F1,Runtime
Baseline-LogReg,N/A,0.926,0.925836256662193,18.123642683029175
Baseline-CNN,N/A,0.9876000285148621,0.9876126293264084,19.743151903152466
Input-LogReg,0.01,0.3644,0.29841577004719594,2.709606885910034
Input-LogReg,0.1,0.543,0.5442382063464777,7.22024393081665
Input-LogReg,0.5,0.7029,0.7090865735216855,17.60372304916382
Input-LogReg,1.0,0.7579,0.7601052780906984,24.936129093170166
Input-LogReg,5.0,0.8983,0.8972917578015287,13.78282904624939
Input-LogReg,10.0,0.9077,0.9069497999087561,16.692176818847656
Input-CNN,0.01,0.11349999904632568,0.023138302649304,20.352378129959106
Input-CNN,0.1,0.5999000072479248,0.567032176417339,20.310252904891968
Input-CNN,0.5,0.8840000033378601,0.8830811658036403,20.547204971313477
Input-CNN,1.0,0.9505000114440918,0.9500675519973191,21.493117809295654
Input-CNN,5.0,0.9890000224113464,0.9889969170622451,21.455994129180908
Input-CNN,10.0,0.9879000186920166,0.9879041507542248,21.046107053756714
Internal,0.01,0.0994,0.05777760806592538,2.0786077976226807
Internal,0.1,0.1141,0.081172673639602,2.10140061378479
Internal,0.5,0.1233,0.06933630182856612,2.1005189418792725
Internal,1.0,0.1397,0.08429094610890003,2.0755271911621094
Internal,5.0,0.1303,0.09365357367967485,2.283859968185425
Internal,10.0,0.0561,0.044715489475570164,2.350924015045166
Output,0.01,0.1189,0.0772439262581227,17.624911069869995
Output,0.1,0.0594,0.04602778990141687,17.535733699798584
Output,0.5,0.1422,0.09249393949041033,17.434743642807007
Output,1.0,0.2804,0.2500479634704902,17.365270853042603
Output,5.0,0.8124,0.8086942655119151,17.76788902282715
Output,10.0,0.8971,0.8963294916302359,17.406227827072144
